,OSL weight,seed,OSL Margin,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
30,0.25,2421,0.0001,250,17.418,0.0,8.36,3.063,11.779,0.558,29317.805,0.123,0.76,1.264,1.264,1.167,2673.484,1.064,-0.04,-13.833
31,0.8500000000000001,2804,0.0001,250,17.985,0.0,8.25,3.044,11.218,0.432,24138.718,0.249,0.959,1.233,1.233,1.167,7101.374,1.12,-0.041,-21.091
32,0.8,2804,0.0001,250,17.974,0.0,8.24,3.043,11.264,0.467,25547.332,0.211,0.929,1.237,1.237,1.167,6769.392,1.078,-0.039,-18.897
33,0.55,6765,0.0001,250,17.71,0.0,8.4,3.071,11.452,0.55,29020.618,0.137,0.811,1.233,1.233,1.154,3489.831,1.071,-0.051,-14.315
34,0.75,4872,0.0001,250,17.601,0.0,8.5,3.087,11.65,0.526,28026.891,0.149,0.848,1.239,1.239,1.167,5433.137,1.081,-0.045,-15.84
35,0.0,2804,0.0001,250,17.765,0.0,8.23,3.041,11.475,0.562,29192.223,0.125,0.78,1.262,1.262,1.167,2561.266,1.04,-0.036,-13.593
36,0.0,2421,0.0001,250,17.42,0.0,8.36,3.063,11.826,0.564,29540.62,0.119,0.748,1.27,1.27,1.167,2303.442,1.062,-0.04,-13.528
37,0.7000000000000001,2804,0.0001,250,17.833,0.0,8.24,3.042,11.323,0.528,27913.63,0.156,0.851,1.245,1.245,1.167,4956.148,1.048,-0.038,-15.375
38,0.2,9361,0.0001,250,18.106,0.0,8.65,3.113,11.732,0.553,29732.9,0.123,0.814,1.239,1.239,1.143,3006.238,1.069,-0.049,-14.234
39,0.1,9361,0.0001,250,18.077,0.0,8.65,3.113,11.744,0.556,29833.566,0.12,0.808,1.249,1.249,1.143,2818.153,1.068,-0.049,-14.094
40,0.75,6765,0.0001,250,17.744,0.0,8.41,3.071,11.358,0.525,28116.86,0.159,0.857,1.224,1.224,1.154,5128.238,1.083,-0.053,-15.589
41,0.25,2804,0.0001,250,17.768,0.0,8.23,3.041,11.44,0.556,29004.099,0.129,0.791,1.26,1.26,1.167,2909.063,1.041,-0.036,-13.852
42,0.55,4872,0.0001,250,17.595,0.0,8.49,3.086,11.639,0.55,28957.069,0.126,0.792,1.245,1.245,1.167,3860.189,1.064,-0.043,-14.532
43,0.65,9361,0.0001,250,18.183,0.0,8.66,3.114,11.545,0.525,28586.534,0.147,0.871,1.208,1.208,1.143,5055.781,1.086,-0.051,-15.85
44,0.45,2804,0.0001,250,17.783,0.0,8.23,3.042,11.37,0.549,28729.378,0.134,0.807,1.254,1.254,1.167,3439.08,1.042,-0.037,-14.23
45,0.4,4872,0.0001,250,17.611,0.0,8.49,3.086,11.65,0.558,29254.31,0.121,0.773,1.247,1.247,1.167,3293.511,1.058,-0.043,-14.122
46,0.8,4872,0.0001,250,17.626,0.0,8.5,3.087,11.592,0.513,27517.04,0.162,0.872,1.237,1.237,1.167,6048.052,1.092,-0.046,-16.566
47,0.9,2804,0.0001,250,17.931,0.0,8.26,3.047,11.241,0.313,19070.395,0.412,0.995,1.233,1.233,1.167,7300.228,3.205,-0.045,-30.083
48,0.3,6765,0.0001,250,17.663,0.0,8.4,3.07,11.522,0.561,29432.005,0.128,0.787,1.249,1.249,1.154,2703.58,1.066,-0.05,-13.743
49,1.0,9361,0.0001,250,18.032,0.0,10.57,3.402,11.756,0.031,4259.093,0.932,1.0,1.074,1.074,1.056,7355.955,450.444,-2.482,-101.286
50,0.5,6765,0.0001,250,17.674,0.0,8.4,3.071,11.51,0.553,29131.246,0.135,0.804,1.24,1.24,1.154,3271.971,1.07,-0.051,-14.159
