,OSL weight,OSL Margin,beam,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
84,0.25,0.0001,250,9361,39.391,0.0,3.94,1.978,12.19,0.394,17679.795,0.305,0.967,1.107,1.107,1.056,2835.861,1.007,-0.012,-14.692
85,0.45,0.0001,250,6765,39.453,0.0,3.98,1.992,12.051,0.38,17233.541,0.3,0.965,1.088,1.088,1.05,4447.363,1.02,-0.013,-15.723
86,0.55,0.0001,250,9361,39.413,0.0,3.94,1.978,12.155,0.373,16956.769,0.333,0.979,1.1,1.1,1.056,4613.113,1.008,-0.013,-15.854
87,0.65,0.0001,250,6765,39.615,0.0,3.98,1.992,12.086,0.341,15924.957,0.35,0.984,1.086,1.086,1.053,6308.796,1.028,-0.013,-17.96
88,0.7000000000000001,0.0001,250,2421,39.856,0.0,4.09,2.033,12.155,0.34,16389.593,0.37,0.994,1.086,1.086,1.05,6489.617,1.023,-0.019,-18.299
89,0.15,0.0001,250,6765,39.397,0.0,3.98,1.991,12.097,0.395,17752.239,0.283,0.955,1.102,1.102,1.051,3280.598,1.018,-0.012,-14.896
90,0.2,0.0001,250,6765,39.386,0.0,3.98,1.991,12.097,0.393,17692.168,0.285,0.957,1.102,1.102,1.051,3414.277,1.018,-0.012,-14.988
91,0.65,0.0001,250,2421,39.848,0.0,4.09,2.033,12.155,0.351,16772.64,0.353,0.991,1.087,1.087,1.05,6143.098,1.021,-0.018,-17.644
92,0.2,0.0001,250,4872,39.638,0.0,3.97,1.988,12.248,0.392,17779.21,0.299,0.965,1.099,1.099,1.05,3307.737,1.009,-0.013,-14.925
93,0.1,0.0001,250,2421,39.726,0.0,4.09,2.033,12.202,0.394,18289.58,0.293,0.975,1.1,1.1,1.05,3398.766,1.014,-0.017,-15.172
94,0.8,0.0001,250,6765,39.619,0.0,3.98,1.992,12.121,0.289,14073.867,0.431,0.996,1.084,1.084,1.053,7127.29,1.057,-0.014,-21.368
95,1.0,0.0001,250,2421,37.145,0.0,5.27,2.399,11.934,0.014,1680.146,0.968,1.0,0.962,0.962,1.0,7367.343,917.776,-3.756,-90.828
96,0.95,0.0001,250,2804,39.455,0.0,3.96,1.987,12.051,0.116,6768.235,0.775,1.0,1.089,1.089,1.056,7342.894,1.98,-0.019,-40.171
97,0.6000000000000001,0.0001,250,9361,39.455,0.0,3.94,1.978,12.167,0.367,16739.753,0.342,0.982,1.096,1.096,1.056,5078.145,1.009,-0.013,-16.212
98,1.0,0.0001,250,4872,37.747,0.0,5.05,2.335,12.283,0.013,1596.412,0.967,1.0,0.986,0.986,1.0,7367.213,761.225,-3.02,-90.043
99,0.15,0.0001,250,4872,39.583,0.0,3.97,1.988,12.26,0.394,17841.021,0.296,0.964,1.102,1.102,1.049,3169.605,1.009,-0.013,-14.828
100,0.15,0.0001,250,2804,39.318,0.0,3.96,1.984,12.004,0.394,17717.359,0.289,0.957,1.112,1.112,1.053,3068.513,1.009,-0.013,-14.858
101,0.8500000000000001,0.0001,250,4872,39.823,0.0,3.98,1.992,12.179,0.256,12976.847,0.521,0.999,1.086,1.086,1.048,7244.092,1.02,-0.015,-23.783
102,0.0,0.0001,250,9361,39.313,0.0,3.94,1.978,12.225,0.402,17956.936,0.294,0.962,1.114,1.114,1.056,2218.429,1.008,-0.012,-14.257
103,0.9,0.0001,250,6765,39.567,0.0,3.99,1.995,12.202,0.166,9177.396,0.652,1.0,1.089,1.089,1.053,7309.176,2.582,-0.015,-33.007
104,0.4,0.0001,250,2804,39.383,0.0,3.96,1.984,11.981,0.38,17242.628,0.308,0.966,1.103,1.103,1.053,4141.68,1.01,-0.013,-15.621
105,0.25,0.0001,250,4872,39.638,0.0,3.97,1.988,12.237,0.391,17708.495,0.301,0.966,1.098,1.098,1.049,3465.277,1.009,-0.013,-15.035
